Station	VSCIAll
5ANTW059.89	86.29745305
5ANTW066.95_2014	88.14
5ANTW077.95	81.42460303
5ANTW093.62	71.50836734
5ANTW097.27	55.09887553
5ANTW098.82	72.04656643
5ANTW103.18	67.23
5ANTW134.52	45.66366652
5ANTW153.04	60.73
5AOTR004.21_2014	61.27
5AROW007.62	37.88361766
5ARSK003.66	60.10011484
5ARYC003.04	43.18
5ARYR001.23	21.365
5ASAP004.00	62.58374116
5ASTO002.58	74.95313025
5ATLR006.84	59.66788493
5AXEB000.75	61.89712355
5AXEC000.76	62.12557608
5AXED000.75	46.78989845
5AXEH001.35	73.07890664
5AXEI000.27	54.73740243
5AXEJ001.73	41.24848132
5AXET000.28	65.39643555
5AXEY000.38	56.3
5AXGI001.79	22.31799671
5AXHR000.32	59.05148184
5AXIA000.48	61.72
5BPCT002.16	41.5535742
6ACNR018.89	48.00258783
6ACNW000.07	43.94
6ADIS013.73	60.96547596
6ADIS022.34	50.89
6ADOT000.46	54.1918461
6AFOX001.69_2011	62.74
6AFOX001.69_2013	75.1
6AFOX001.69_2004	71.2024398
6AFRY006.70	37.86
6AGRF002.36	56.28
6AHME002.16	51.34422625
6ALBJ000.07	72.73603245
6ALEV138.19	52.24142857
6ALEV158.93	65.33502249
6ALLF002.19	53.08815779
6AMCR005.94	57.86
6AMCR007.85	61.79
6APAW001.22	71.59
6APNR034.58	33.13
6APNS003.94	40.26554832
6ARLF000.06_2012	50.73
6ARLF000.06_2014	71.61
6ARPC002.45	39.33
6ASAT003.60	52.13399529
6ASAT011.43	61.08
6ASLV000.85	46.055
6AXBF000.40	38.32167978
6BBLC002.21	79.67736197
6BCLN320.68	64.42
6BCOL001.93	33.78991647
6BDRA001.07	79.12
6BDUM000.23	41.75156559
6BGUE016.54	49.061766
6BHAR002.41	57.36
6BIDI009.04	74.315
6BJNN001.35	59.9630165
6BLSR004.78	69.76553384
6BLTL003.31	59.255
6BLTR019.45	72.02608694
6BLTR022.98	68.905
6BLTR025.03	77.645
6BLUR000.60	64.995
6BLWS003.88	55.33387105
6BMOL001.75	76.11
6BMTN003.94	70.25992669
6BPLL001.61_2008	61.9349016
6BPLL001.61_2013	52.88
6BPOW156.57	53.89101788
6BPOW162.89	53.85736333
6BPOW184.19	46.94877431
6BPWL000.06	49.63596747
6BPWL020.93	58.35
6BSTC000.04	58.01
6BTMS006.51	66.56478003
6BVAL002.86	71.22
6BWAL005.97	77.15206802
6BXDJ000.15	62.04949308
6BXGD000.01	46.275
6CBMC006.40	79.985
6CCOV002.54	73.08
6CGAS000.45	73.41
6CGRN003.29	54.185
6CHUT000.07	66.03137337
6CLAL000.19	70.825
6CLAL001.79	69.72347879
6CLIB001.06	74.895
6CMFH023.41	54.655
6CNFH014.72	53.3
6CNFH067.13	60.135
6CNFH073.03	69.78
6CNFH108.76	71.34273973
6CPSM017.73	70.25417842
6CSFH082.78	78.70575876
6CSFH084.73	61.02165386
6CSFH098.10	74.98560725
6CSFH099.18	81.90945824
6CSFH104.35	67.995
6CSLM002.11	63.5392102
6CSPO001.45	77.31
6CSTC000.20	68.79
6CSTC000.87	67.34190006
6CSTU000.15	77.7474212
6CXEE000.72	63.735
6CXEO000.25	62.25
7-BBR001.31	50.86982256
7-DGN004.80	47.05900922
7-GLF003.77	53.13753737
7-XDM000.50	61.9395818
7-XEQ000.85	49.98501439
8-BLC002.88	69.9656757
8-BLC005.54	71.68089765
8-BRC002.70	74.005
8-BRD000.43	48.43329191
8-FRK005.53	59.65
8-HER012.99	46.99381758
8-LOC002.00	42.09438301
8-LRK000.11	61.06259701
8-MAR007.63	80.04753615
8-MHX000.27	61.59345076
8-MPN043.76	75.21
8-MPN046.13	66.32040314
8-MTA012.09	55.21676769
8-NAR006.15	76.02168991
8-NAR025.28	69.74
8-PCT002.95	42.07697
8-PCT007.71	62.75950868
8-PGN002.42	63.63
8-PMK063.58	63.94772244
8-PMK077.53	59.53799676
8-PMK088.14	77.31561736
8-PMK092.12	72.76417158
8-POR015.70_2004	59.77037697
8-POR015.70_2011	58.76
8-POR015.70_2013	72.43
8-POR024.64	68.97706346
8-RDB003.36	64.02441618
8-RIG003.01	65.24
8-RIG004.13	69.75
8-SAR028.79	70.14
8-SAR058.13	70.19959564
8-SAR094.59	71.42
8-SHC001.59	50.00217077
8-SOB000.15	60.45616217
8-STG000.73	58.5
8-STH006.43	64.41127364
8-TLR005.30	54.78
8-XEA000.12	44.37750778
8-XID000.08	68.51041767
8-XIM000.53	68.43728833
8-XJE000.48	62.735
9-CPL009.78	70.24
9-CPL012.73	74.23
9-CST005.73	58.81
9-CST012.63	53.84
9-DDD006.61	80.6385556
9-DEN000.39	56.12
9-DPW002.31	81.2875766
9-ECM001.01	69.795
9-ELK013.81	42.825
9-FRS000.16	79.33211018
9-GSC000.44	67.91102139
9-ISL003.05	64.76545205
9-KNB003.98	65.62282643
9-KNS002.44	79.88
9-LEF005.25	71.35
9-LFK005.39	64.635
9-LIC004.73	65.98318
9-LRR012.30_2012	53.625
9-LRR012.30_2014	41.52
9-LRV004.89	58.82
9-LRV012.98	67.39
9-LRV035.03	58.03533789
9-LTL001.22	39.50210035
9-LVR007.16	70.27
9-LWK004.04	73.91
9-MDR003.60	46.20054834
9-MER002.99	39.11
9-MLL000.90	70.55
9-NBS006.58	70.65832454
9-PKC005.95	60.63093459
9-PLK000.79	76.37
9-PLM000.35	76.16106658
9-RDC013.79	64.48029122
9-RDC049.02	60.29
9-RDC051.21	61.47057153
