"siteID","Year","Longitude-DD","Latitude-DD","finalweight_all","TN","TP","TDS","LRBS","TotHab","VSCIVCPMI","MetalCCU","VSCIstatus","TotHabstatus","TNstatus","TPstatus","TDSstatus","MetalCCUstatus","LRBSstatus"
"9-MDR003.60",2001,-80.171561,37.043899,54.1782178217822,1.91,0.03,62,NA,134,46.20054834,NA,"Poor",NA,NA,NA,"Good",NA,NA
"9-WFC010.66",2001,-80.925421,37.278881,24.9902078651685,0.31,0.01,138,NA,180,72.8844746,NA,"Good","Good","Good","Good",NA,NA,NA
"9-WFC044.15",2001,-81.288497,37.147858,37.956487804878,1.07,0.02,124,NA,137,77.27485809,NA,"Good",NA,NA,"Good",NA,NA,NA
"9-WLK024.17",2001,-80.785795,37.202453,11.4655761589404,0.15,0.01,163,NA,190.5,66.51747,NA,"Good","Good","Good","Good",NA,NA,NA
"1ADIF010.57",2002,-77.317491,38.902843,37.956487804878,1.23,0.01,124,NA,170.5,31.12369774,NA,"Poor","Good",NA,"Good",NA,NA,NA
"1AKET011.03",2002,-77.651553,38.721743,54.1782178217822,0.45,0.04,127,NA,154,60.03367761,NA,"Good","Good","Good",NA,NA,NA,NA
"1AWAC003.31",2002,-77.726833,38.972062,54.1782178217822,2.65,0.15,135,NA,165,55.2827111,NA,NA,"Good","Poor","Poor",NA,NA,NA
"1BCDR010.21",2002,-78.345959,39.061279,24.9902078651685,0.27,0.01,83,NA,180.5,68.11964612,NA,"Good","Good","Good","Good","Good",NA,NA
"1BMDL026.58",2002,-78.971832,38.192703,37.956487804878,1,0.06,259,NA,154,57.64236702,NA,NA,"Good","Good","Poor",NA,NA,NA
"1BNFS102.55",2002,-78.920557,38.703167,24.9902078651685,0.8,0.01,47,NA,170,62.25789483,NA,"Good","Good","Good","Good","Good",NA,NA
"2-APP114.05",2002,-78.420305,37.323341,24.9902078651685,0.34,0.02,77,NA,83,65.41160737,NA,"Good","Poor","Good","Good","Good",NA,NA
"2BTYS000.85",2002,-79.05848,37.856135,37.956487804878,0.35,0.02,13,NA,182,77.83615165,NA,"Good","Good","Good","Good","Good",NA,NA
"2-LTP002.69",2002,-78.080059,37.769078,37.956487804878,0.78,0.06,86,NA,110,46.68907088,NA,"Poor","Poor","Good","Poor","Good",NA,NA
"2-POL010.11",2002,-79.252935,37.61,37.956487804878,0.15,0.01,20,NA,160,63.45363738,NA,"Good","Good","Good","Good","Good",NA,NA
"2-RVN035.67",2002,-78.4155,38.008844,11.4655761589404,2.04,0.49,83,NA,159,43.66218847,NA,"Poor","Good","Poor","Poor","Good",NA,NA
"2-STH000.50",2002,-79.378135,37.773018,24.9902078651685,0.28,0.01,110,NA,166,69.66098289,NA,"Good","Good","Good","Good",NA,NA,NA
"2-WDY003.12",2002,-78.009835,37.17165,54.1782178217822,0.65,0.06,100,NA,119,38.35318571,NA,"Poor","Poor","Good","Poor","Good",NA,NA
"2-WLN006.90",2002,-79.80374,37.897411,37.956487804878,0.18,0.01,12,NA,187,59.06068573,NA,NA,"Good","Good","Good","Good",NA,NA
"2-XUM001.89",2002,-78.798096,37.582373,218.379530916844,0.15,0.01,26,NA,124,72.50177953,NA,"Good",NA,"Good","Good","Good",NA,NA
"3-BRK001.97",2002,-77.87212,38.395431,37.956487804878,3.88,0.35,180,NA,136,32.14413123,NA,"Poor",NA,"Poor","Poor",NA,NA,NA
"3-SUM003.88",2002,-77.952396,38.387757,54.1782178217822,1.82,0.06,177,NA,157,60.3519858,NA,"Good","Good",NA,"Poor",NA,NA,NA
"3-WAE005.95",2002,-77.366818,38.191074,218.379530916844,0.85,0.05,53,NA,139,14.15835219,NA,"Poor",NA,"Good",NA,"Good",NA,NA
"4AACC001.75",2002,-78.576319,37.035376,54.1782178217822,0.98,0.1,110,NA,117,45.18158508,NA,"Poor","Poor","Good","Poor",NA,NA,NA
"4ABAN002.67",2002,-78.811808,36.724082,11.4655761589404,0.51,0.04,52,NA,82,56.6524971,NA,NA,"Poor","Good",NA,"Good",NA,NA
"4ABEE001.20",2002,-78.632288,36.543423,54.1782178217822,0.46,0.04,89,NA,147,41.05506572,NA,"Poor",NA,"Good",NA,"Good",NA,NA
"4ACTO001.01",2002,-79.918632,36.879616,218.379530916844,0.37,0.02,36,NA,151,65.80722055,NA,"Good","Good","Good","Good","Good",NA,NA
"4AGIL008.56",2002,-79.73284,37.103056,37.956487804878,0.56,0.07,51,NA,143,66.69504659,NA,"Good",NA,"Good","Poor","Good",NA,NA
"4ALNT001.00",2002,-79.838127,36.901063,37.956487804878,0.75,0.03,46,NA,142,65.83112864,NA,"Good",NA,"Good",NA,"Good",NA,NA
"4AROA221.95",2002,-80.150498,37.24507,11.4655761589404,0.19,0.01,157,NA,169,67.41847246,NA,"Good","Good","Good","Good",NA,NA,NA
"4BLOV008.45",2002,-80.631298,36.572011,37.956487804878,0.51,0.01,43,NA,127.5,50.52330462,NA,NA,NA,"Good","Good","Good",NA,NA
"4BLOV017.16",2002,-80.620156,36.667799,218.379530916844,0.58,0.01,23,NA,147.5,71.74285532,NA,"Good",NA,"Good","Good","Good",NA,NA
"5ABLW052.91",2002,-76.855923,36.966134,11.4655761589404,0.87,0.06,115,NA,164,49.34825085,NA,"Poor","Good","Good","Poor",NA,NA,NA
"5ABVC003.15",2002,-77.600802,36.545168,37.956487804878,0.76,0.07,70,NA,105,69.2,NA,"Good","Poor","Good","Poor","Good",NA,NA
"5AMHN082.76",2002,-77.932168,36.720089,11.4655761589404,0.29,0.03,77,NA,70,70.83947643,NA,"Good","Poor","Good",NA,"Good",NA,NA
"5ANMR007.11",2002,-78.29833,36.870194,24.9902078651685,0.37,0.03,76,NA,137,73.63717354,NA,"Good",NA,"Good",NA,"Good",NA,NA
"5ANTW016.37",2002,-77.007485,36.654922,8.19505,0.58,0.03,79,NA,177,71.20767668,NA,"Good","Good","Good",NA,"Good",NA,NA
"5ANTW077.95",2002,-77.396958,36.900144,11.4655761589404,0.78,0.06,60,NA,142,81.42460303,NA,"Good",NA,"Good","Poor","Good",NA,NA
"5AXEB000.75",2002,-77.09726,36.835369,54.1782178217822,1.18,0.03,104,NA,106,61.89712355,NA,"Good","Poor",NA,NA,NA,NA,NA
"6AHME002.16",2002,-82.144649,37.351709,37.956487804878,0.46,0.01,381,NA,122,51.34422625,NA,NA,NA,"Good","Good","Poor",NA,NA
"6ALBJ000.07",2002,-81.946267,37.513674,54.1782178217822,0.52,0.01,166,NA,137,72.73603245,NA,"Good",NA,"Good","Good",NA,NA,NA
"6BCOL001.93",2002,-81.868881,37.108384,54.1782178217822,0.61,0.01,476,NA,138,33.78991647,NA,"Poor",NA,"Good","Good","Poor",NA,NA
"6BGUE016.54",2002,-82.559639,36.935992,24.9902078651685,0.41,0.01,313,NA,145.5,49.061766,NA,"Poor",NA,"Good","Good",NA,NA,NA
"6BJNN001.35",2002,-81.543741,37.172375,218.379530916844,0.31,0.02,122,NA,71,59.9630165,NA,NA,"Poor","Good","Good",NA,NA,NA
"6BPWL000.06",2002,-82.999537,36.737191,11.4655761589404,0.38,0.02,214,NA,130,49.63596747,NA,"Poor",NA,"Good","Good",NA,NA,NA
"6CNFH108.76",2002,-81.53647,36.950689,24.9902078651685,0.5,0.01,121,NA,120.5,71.34273973,NA,"Good",NA,"Good","Good",NA,NA,NA
"6CSFH084.73",2002,-81.771829,36.691607,24.9902078651685,0.62,0.04,99,NA,154.5,61.02165386,NA,"Good","Good","Good",NA,"Good",NA,NA
"8-HER012.99",2002,-77.295144,37.839766,54.1782178217822,0.85,0.13,57,NA,149,46.99381758,NA,"Poor",NA,"Good","Poor","Good",NA,NA
"8-MTA012.09",2002,-77.579799,38.108724,24.9902078651685,0.77,0.06,81,NA,142,55.21676769,NA,NA,NA,"Good","Poor","Good",NA,NA
"8-NAR006.15",2002,-77.426965,37.858806,11.4655761589404,0.37,0.01,53,NA,117,76.02168991,NA,"Good","Poor","Good","Good","Good",NA,NA
"9-RDC013.79",2002,-80.927979,36.955385,24.9902078651685,1,0.02,212,NA,125,64.48029122,NA,"Good",NA,"Good","Good",NA,NA,NA
"9-SFK001.10",2002,-81.179709,36.963496,37.956487804878,0.41,0.01,90,NA,128,62.54307406,NA,"Good",NA,"Good","Good","Good",NA,NA
"9-WLK035.52",2002,-80.865252,37.161385,11.4655761589404,0.27,0.01,93,NA,167,67.60168005,NA,"Good","Good","Good","Good","Good",NA,NA
"1ACAA000.83",2003,-77.594242,38.826639,54.1782178217822,0.63,0.02,85,NA,162.5,39.18617928,0.7212,"Poor","Good","Good","Good","Good","Good",NA
"1AELK005.38",2003,-77.67158,38.570636,54.1782178217822,0.33,0.02,56,NA,147.5,47.76034325,1.061,"Poor",NA,"Good","Good","Good",NA,NA
"1AGAN000.32",2003,-78.277074,39.220106,54.1782178217822,0.83,0.01,110,NA,152,71.49189621,0.5137,"Good","Good","Good","Good",NA,"Good",NA
"1BNFS048.74",2003,-78.483557,38.856791,24.9902078651685,3.28,0.08,171,NA,164,59.38056284,0.3153,NA,"Good","Poor","Poor",NA,"Good",NA
"1BNKW001.97",2003,-78.516144,38.48316,54.1782178217822,0.2,0.01,36,NA,170.5,56.05837761,0.6195,NA,"Good","Good","Good","Good","Good",NA
"1BSTH029.45",2003,-78.92006,38.047813,24.9902078651685,0.84,0.02,84,NA,NA,56.15739694,0.5061,NA,NA,"Good","Good","Good","Good",NA
