"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","Potomac-Shenandoah","VSCIVCPMI","55Pct",44,61.6457496752469,"",55.2529933478508,66.9877415989202
"Region","Potomac-Shenandoah","VSCIVCPMI","60Pct",51,65.0657021089695,"",56.4481030210657,68.4386677532479
"Region","Potomac-Shenandoah","VSCIVCPMI","65Pct",53,66.3529257224496,"",60.2176090457459,69.0278242619905
"Region","Potomac-Shenandoah","VSCIVCPMI","70Pct",54,67.727538353612,"",63.618405224136,70.3324413271271
"Region","Potomac-Shenandoah","VSCIVCPMI","75Pct",62,69.0252889685696,"",65.9989283051043,71.4997533208123
"Region","Potomac-Shenandoah","VSCIVCPMI","80Pct",63,69.0525896388371,"",67.6877876790216,74.2688255784964
"Region","Potomac-Shenandoah","VSCIVCPMI","85Pct",70,71.2549278467415,"",69.0024052960707,74.6139887960691
"Region","Potomac-Shenandoah","VSCIVCPMI","90Pct",74,74.254699305708,"",69.0516586254639,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","95Pct",75,74.6032725515156,"",71.5206606953634,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","99Pct",78,75.71901496715,"",74.7412453014997,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","Mean",80,56.8812895480286,"1.82771846300954",53.299027186651,60.4635519094062
"Region","Potomac-Shenandoah","VSCIVCPMI","Variance",80,186.365243692884,"18.0264143795285",151.034120738613,221.696366647155
"Region","Potomac-Shenandoah","VSCIVCPMI","Std. Deviation",80,13.6515656132505,"0.660232492382841",12.357533706757,14.945597519744
"Region","Rappahannock-York","VSCIVCPMI","1Pct",1,14.15835219,"",14.15835219,25.9631566410536
"Region","Rappahannock-York","VSCIVCPMI","5Pct",3,24.5637614949773,"",14.15835219,42.0866404006654
"Region","Rappahannock-York","VSCIVCPMI","10Pct",6,38.6375119637652,"",14.441570941312,42.972629735851
"Region","Rappahannock-York","VSCIVCPMI","15Pct",11,42.788949448492,"",30.1993560965393,44.1920090781476
"Region","Rappahannock-York","VSCIVCPMI","20Pct",13,43.7916571880713,"",42.4367116778906,47.6121628303974
"Region","Rappahannock-York","VSCIVCPMI","25Pct",16,47.0143808358498,"",42.7885711627539,48.5236159868659
"Region","Rappahannock-York","VSCIVCPMI","30Pct",18,47.7182113667027,"",43.5619125525685,49.7470861051605
"Region","Rappahannock-York","VSCIVCPMI","35Pct",20,48.3611169009676,"",45.0778954433965,50.910555498531
"Region","Rappahannock-York","VSCIVCPMI","40Pct",24,49.6252948449537,"",47.5677221056474,55.6009847559876
"Region","Rappahannock-York","VSCIVCPMI","45Pct",26,50.3902374205025,"",47.8499782107715,58.7887490475721
"Region","Rappahannock-York","VSCIVCPMI","50Pct",27,53.1003100222113,"",48.7371386083108,60.1856754298756
"Region","Rappahannock-York","VSCIVCPMI","55Pct",31,58.3765235800756,"",49.9941251157725,61.7406706296197
"Region","Rappahannock-York","VSCIVCPMI","60Pct",35,59.5875710210585,"",52.3398660460916,63.6909640690109
"Region","Rappahannock-York","VSCIVCPMI","65Pct",41,61.2974998243087,"",56.3675546052651,66.8350656097251
"Region","Rappahannock-York","VSCIVCPMI","70Pct",45,62.7427838376083,"",59.6172133525575,67.3980302735377
"Region","Rappahannock-York","VSCIVCPMI","75Pct",57,66.5918259132369,"",61.6214850579802,69.9392851174251
"Region","Rappahannock-York","VSCIVCPMI","80Pct",60,68.3529494932367,"",64.3388246364651,73.4369245186048
"Region","Rappahannock-York","VSCIVCPMI","85Pct",72,70.1836598398839,"",67.1509785225313,75.2046987543192
"Region","Rappahannock-York","VSCIVCPMI","90Pct",81,73.9137340299348,"",68.9739911316477,82.9893621802955
"Region","Rappahannock-York","VSCIVCPMI","95Pct",88,81.0455842556744,"",73.8724069511231,84.8
"Region","Rappahannock-York","VSCIVCPMI","99Pct",89,84.0011120702216,"",80.3506407336989,84.8
"Region","Rappahannock-York","VSCIVCPMI","Mean",90,54.9530612271737,"1.81881593954421",51.3882474911597,58.5178749631877
"Region","Rappahannock-York","VSCIVCPMI","Variance",90,245.783282379192,"47.0104737016953",153.644447027702,337.922117730682
"Region","Rappahannock-York","VSCIVCPMI","Std. Deviation",90,15.6774769136871,"1.49929972662416",12.738903447473,18.6160503799012
"Region","New","VSCIVCPMI","1Pct",1,29.545,"",29.545,39.3401682082161
"Region","New","VSCIVCPMI","5Pct",1,29.545,"",29.545,40.4815824023651
"Region","New","VSCIVCPMI","10Pct",2,39.3929172725285,"",29.545,44.9333453621895
"Region","New","VSCIVCPMI","15Pct",6,42.8590792787824,"",29.545,54.0957885567244
"Region","New","VSCIVCPMI","20Pct",6,45.9426762394043,"",39.3309987363255,55.793283841956
"Region","New","VSCIVCPMI","25Pct",11,53.6918728451796,"",39.9066273786288,59.4115675864642
"Region","New","VSCIVCPMI","30Pct",14,55.7053199907851,"",44.3836511638561,62.7690217071084
"Region","New","VSCIVCPMI","35Pct",16,56.9949276777681,"",51.1716073406917,65.6106223991405
"Region","New","VSCIVCPMI","40Pct",24,61.3119444606451,"",55.0247379432678,66.5924306942107
"Region","New","VSCIVCPMI","45Pct",30,64.5818039144476,"",55.9050314066959,68.0251803746129
"Region","New","VSCIVCPMI","50Pct",33,65.7684306835741,"",58.8145646959383,70.0297093489342
"Region","New","VSCIVCPMI","55Pct",38,67.9642753364708,"",61.5530327603847,70.8716785208112
"Region","New","VSCIVCPMI","60Pct",39,68.0377288265279,"",64.6974628062677,72.1196749215562
"Region","New","VSCIVCPMI","65Pct",46,70.3239608246509,"",65.8686716803662,74.5929074141731
"Region","New","VSCIVCPMI","70Pct",48,71.0297291829576,"",68.012460628067,76.2950814983497
"Region","New","VSCIVCPMI","75Pct",51,72.849687640323,"",69.7247215045204,78.1564171054996
"Region","New","VSCIVCPMI","80Pct",54,74.8412806405179,"",70.7116427365983,79.9262753783038
"Region","New","VSCIVCPMI","85Pct",58,77.2774686944021,"",72.3288337587357,80.8246928402944
